MONTREUIL;;;;;;;;;;;;;;;;;;;;
;;;;;;XS;S;M;L;XL;XXL;Nombre de packs par couleur;;;;;;;;
Fournisseur;Marque;Nom;numéro du set de la bibliothèque;Type de prise;Nombre de prises dans le pack;;;;1;1;1;Jaune;Vert;Bleu;Rouge;Noir;Violet;Blanc;Quantité;total prises
SNAP;SNAP;Plates 11;snap_020;jugs;1;;;;;;1;1;1;1;1;1;1;;6;6
SNAP;SNAP;Plates 12;snap_021;jugs;1;;;;;;1;1;1;1;1;1;1;;6;6
SNAP;SNAP;Plates 2;snap_022;jugs;2;;;2;;;;1;1;1;1;;;;4;8
SNAP;SNAP;Plates 5;snap_023;crimps;10;;10;;;;;;1;1;1;1;1;;5;50
SNAP;SNAP;Plates 6;snap_024;crimps;10;10;;;;;;;;;1;1;1;;3;30
SNAP;SNAP;Plates 7;snap_025;jugs;10;;5;5;;;;1;1;1;1;1;;;5;50
SNAP;SNAP;Plates 8;snap_026;jugs;10;;;5;5;;;1;1;1;1;;;;4;40
SNAP;SNAP;Plates 9;snap_027;jugs;5;;;;3;2;;1;1;1;;;;;3;15
SNAP;SNAP;Rainbow 1;snap_028;edges;1;;;;;;1;;;;;;1;;1;1
SNAP;SNAP;Rainbow 2;snap_029;edges;1;;;;;1;;;;;;;1;;1;1
SNAP;SNAP;Rainbow 3;snap_030;edges;5;;;2;3;;;;;;;;1;;1;5
SNAP;SNAP;Rainbow 4;snap_031;edges;5;;5;;;;;;;;;;1;;1;5
SNAP;SNAP;Razor Blade 1;snap_032;crimps;5;5;;;;;;;;;;;1;;1;5
SNAP;SNAP;Razor Blade 2;snap_033;crimps;8;;8;;;;;;;;;1;1;;2;16
SNAP;SNAP;Razor Blade 3;snap_034;crimps;5;;;5;;;;;;;1;1;1;;3;15
SNAP;SNAP;Razor Blade 4;snap_035;crimps;10;;;10;;;;;;;1;1;1;;3;30
SNAP;SNAP;Sugar 1;snap_036;micro;15;15;;;;;;;;1;1;1;1;;4;60
SNAP;SNAP;Sugar 2;snap_037;micro;16;8;8;;;;;;;;1;1;1;;3;48
SNAP;SNAP;Sunrises 1;snap_038;pinches;4;;;1;1;1;1;1;1;1;1;1;1;;6;24
SNAP;SNAP;Sunrises 2;snap_039;pinches;3;;2;1;;;;;;1;1;1;1;;4;12
SNAP;SNAP;Sunrises 4;snap_040;pinches;4;;;2;2;;;;;;1;1;1;;3;12
SNAP;SNAP;Sunrises 5;snap_041;pinches;4;;1;2;1;;;;;;1;1;1;;3;12
SNAP;SNAP;Sunrises 6;snap_042;pinches;3;;;;2;1;;;;;;1;1;;2;6
SNAP;SNAP;Sunrises 7;snap_043;pinches;6;3;3;;;;;;;;1;1;1;;3;18
SNAP;SNAP;Tears 1 XXL;snap_044;slopers;1;;;;;;1;1;1;1;;;;;3;3
SNAP;SNAP;Tears 2 XXL;snap_045;;;;;;2;;;;;1;;;;;1;
SNAP;SNAP;Tears 5 S;snap_046;pinches;5;5;;;;;;;;1;;;;;1;5
